TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Customer_Age_encoded,Target
706,2023-12-13 16:01:38,0,3,1,8,3,65,0,419,2024-11-04 08:10:33,1,1
1385,2023-10-09 16:29:40,0,28,2,1,3,95,0,181,2024-11-04 08:11:35,0,2
1468,2023-11-27 16:45:57,0,10,2,8,3,128,0,46,2024-11-04 08:07:24,1,2
432,2023-06-07 16:45:34,0,41,1,49,0,135,0,1623,2024-11-04 08:06:45,4,2
727,2023-09-07 16:51:27,0,36,1,10,3,132,0,232,2024-11-04 08:08:58,1,2
504,2023-03-29 17:47:16,0,29,0,44,2,80,0,786,2024-11-04 08:10:42,4,1
1097,2023-08-04 17:53:40,0,23,1,7,3,73,0,358,2024-11-04 08:09:15,0,1
1229,2023-06-09 16:18:15,0,16,1,30,1,18,0,922,2024-11-04 08:07:09,3,1
528,2023-10-02 16:35:22,0,18,1,5,3,41,0,238,2024-11-04 08:11:37,0,1
1170,2023-11-07 16:48:23,0,19,2,30,1,214,0,1066,2024-11-04 08:08:09,3,0
28,2023-11-02 16:01:40,0,5,2,32,0,114,0,1594,2024-11-04 08:11:32,3,2
1056,2023-04-25 16:11:24,0,16,1,38,2,213,0,636,2024-11-04 08:10:12,4,0
1395,2023-04-18 18:40:47,0,0,1,7,3,118,0,525,2024-11-04 08:12:10,0,2
611,2023-07-18 16:12:00,0,1,0,26,1,209,0,714,2024-11-04 08:10:18,2,0
646,2023-01-13 17:00:16,0,9,2,17,1,125,0,1028,2024-11-04 08:09:26,1,2
142,2023-07-04 18:20:33,0,4,0,44,2,45,0,946,2024-11-04 08:12:15,4,1
904,2023-12-28 17:31:03,0,43,0,19,1,41,0,1071,2024-11-04 08:09:17,2,1
447,2023-03-13 16:32:12,0,25,1,26,0,59,0,1619,2024-11-04 08:11:36,2,1
563,2023-12-18 18:46:27,0,24,1,1,3,67,0,372,2024-11-04 08:06:50,0,1
745,2023-07-17 18:54:31,0,39,2,32,0,57,0,1471,2024-11-04 08:10:29,3,1
776,2023-06-19 18:22:10,0,10,0,20,1,92,0,120,2024-11-04 08:09:51,2,2
969,2023-11-06 16:34:10,0,10,2,31,0,160,0,1143,2024-11-04 08:09:38,3,2
683,2023-07-03 16:40:24,0,36,2,16,0,147,0,425,2024-11-04 08:09:42,1,2
141,2023-10-20 17:27:35,0,23,1,46,0,59,0,1440,2024-11-04 08:12:05,4,1
1243,2023-11-20 16:28:09,0,18,2,6,3,90,0,186,2024-11-04 08:08:38,0,2
900,2023-03-27 18:16:04,0,15,1,3,3,125,0,137,2024-11-04 08:10:44,0,2
1489,2023-03-02 16:05:09,0,35,0,11,1,62,0,310,2024-11-04 08:08:04,1,1
146,2023-07-17 17:08:24,0,21,0,39,1,68,0,25,2024-11-04 08:11:05,4,1
659,2023-09-01 17:26:02,0,5,1,53,2,123,0,551,2024-11-04 08:07:22,4,2
537,2023-09-11 16:19:04,0,35,1,19,0,165,0,1222,2024-11-04 08:08:38,2,2
1223,2023-01-24 17:23:56,0,13,1,12,1,14,0,1349,2024-11-04 08:11:07,1,1
811,2023-02-24 16:29:23,0,41,1,9,1,136,0,1395,2024-11-04 08:08:32,1,2
599,2023-01-02 16:36:02,0,19,0,14,1,222,0,1263,2024-11-04 08:06:35,1,0
1077,2023-11-30 16:31:03,0,7,2,28,1,41,0,1394,2024-11-04 08:10:48,3,1
536,2023-11-01 16:52:01,0,39,2,41,2,70,0,994,2024-11-04 08:09:24,4,1
1544,2023-03-06 16:47:02,0,34,1,9,3,7,0,83,2024-11-04 08:11:40,1,1
1374,2023-11-27 18:32:49,0,20,2,4,3,25,0,94,2024-11-04 08:09:22,0,1
645,2023-07-31 16:37:46,0,35,0,45,2,137,0,1267,2024-11-04 08:10:42,4,2
1117,2023-02-10 16:52:48,0,14,2,22,1,94,0,105,2024-11-04 08:06:30,2,2
11,2023-07-21 16:43:11,0,36,2,29,0,97,0,1532,2024-11-04 08:09:53,3,2
541,2023-05-22 17:09:52,0,14,1,21,1,157,0,1046,2024-11-04 08:10:02,2,2
286,2023-08-16 16:17:12,0,15,0,51,2,111,0,455,2024-11-04 08:08:43,4,2
1125,2023-08-25 17:26:07,0,32,2,23,1,51,0,747,2024-11-04 08:11:00,2,1
21,2023-11-27 16:38:34,0,42,0,38,2,31,0,910,2024-11-04 08:10:48,4,1
1449,2023-09-04 16:48:35,0,30,1,39,0,148,0,387,2024-11-04 08:10:13,4,2
1580,2023-08-09 17:34:26,0,40,2,8,3,70,0,296,2024-11-04 08:09:58,1,1
212,2023-09-07 16:07:40,0,23,2,8,3,98,0,55,2024-11-04 08:07:42,1,2
579,2023-07-03 17:14:07,0,28,1,15,1,95,0,1016,2024-11-04 08:07:25,1,2
841,2023-11-20 17:10:02,0,21,2,29,1,255,0,1387,2024-11-04 08:08:45,3,0
1221,2023-08-21 16:46:05,0,0,0,38,0,65,0,1519,2024-11-04 08:09:32,4,1
86,2023-10-16 16:59:36,0,25,0,32,0,114,0,1610,2024-11-04 08:11:59,3,2
1356,2023-06-20 17:21:50,0,28,2,0,3,58,0,480,2024-11-04 08:07:03,0,1
1145,2023-01-16 16:53:38,0,35,1,3,3,8,0,255,2024-11-04 08:09:57,0,1
909,2023-09-01 16:09:08,0,6,2,5,3,110,0,44,2024-11-04 08:08:47,0,2
30,2023-10-23 18:38:15,0,6,2,12,0,233,0,894,2024-11-04 08:09:43,1,0
889,2023-07-03 17:42:08,0,5,0,0,3,273,0,64,2024-11-04 08:11:34,0,0
244,2023-02-16 17:57:10,0,20,0,2,3,82,0,457,2024-11-04 08:07:24,0,1
1266,2023-07-28 16:29:23,0,22,0,48,0,131,0,1457,2024-11-04 08:10:23,4,2
983,2023-02-06 17:48:55,0,30,2,36,2,82,0,780,2024-11-04 08:12:18,3,1
357,2023-07-24 18:08:43,0,41,2,62,2,103,0,1040,2024-11-04 08:09:04,4,2
988,2023-10-09 16:52:47,0,35,2,2,3,150,0,133,2024-11-04 08:08:34,0,2
1369,2023-11-03 16:45:52,0,37,1,43,0,249,0,1552,2024-11-04 08:09:41,4,0
1212,2023-02-15 16:41:11,0,40,0,19,1,232,0,1365,2024-11-04 08:09:58,2,0
197,2023-09-19 17:38:18,0,5,1,5,3,112,0,136,2024-11-04 08:11:40,0,2
164,2023-05-31 16:37:39,0,42,2,44,0,89,0,1330,2024-11-04 08:06:30,4,1
1079,2023-01-09 16:12:01,0,11,1,15,0,266,0,870,2024-11-04 08:06:33,1,0
385,2023-08-14 17:43:17,0,26,1,52,0,115,0,1104,2024-11-04 08:07:39,4,2
902,2023-01-31 18:31:22,0,22,0,16,1,155,0,2,2024-11-04 08:12:15,1,2
587,2023-02-14 16:07:01,0,3,1,57,2,252,0,924,2024-11-04 08:08:42,4,0
1070,2023-12-04 17:07:34,0,15,1,13,1,26,0,740,2024-11-04 08:08:45,1,1
1016,2023-05-16 17:26:37,0,11,0,4,3,99,0,436,2024-11-04 08:07:38,0,2
1560,2023-03-20 16:58:12,0,15,1,13,1,7,0,1088,2024-11-04 08:09:15,1,1
558,2023-08-25 18:01:38,0,20,1,38,2,86,0,904,2024-11-04 08:07:34,4,1
755,2023-05-15 17:25:28,0,6,2,58,2,33,0,875,2024-11-04 08:06:30,4,1
972,2023-05-29 16:50:10,0,10,1,4,3,26,0,225,2024-11-04 08:06:52,0,1
726,2023-03-22 16:10:14,0,6,2,6,3,9,0,495,2024-11-04 08:07:37,0,1
372,2023-05-19 16:52:53,0,32,1,8,3,4,0,184,2024-11-04 08:11:12,1,1
1567,2023-05-22 16:22:36,0,3,0,1,3,154,0,178,2024-11-04 08:10:39,0,2
917,2023-12-18 16:47:17,0,31,2,53,2,36,0,316,2024-11-04 08:07:50,4,1
1539,2023-07-19 17:03:58,0,30,2,23,0,113,0,1614,2024-11-04 08:08:27,2,2
1330,2023-04-19 16:36:03,0,0,0,40,0,72,0,1530,2024-11-04 08:12:06,4,1
1059,2023-11-13 16:11:52,0,17,1,55,2,90,0,1249,2024-11-04 08:08:00,4,2
825,2023-01-03 16:46:36,0,19,0,41,0,278,0,1166,2024-11-04 08:10:16,4,0
1250,2023-01-30 16:15:49,0,32,0,41,1,99,0,656,2024-11-04 08:08:21,4,2
1472,2023-03-02 16:11:53,0,23,0,44,2,42,0,373,2024-11-04 08:12:15,4,1
865,2023-01-04 16:02:09,0,20,0,20,0,222,0,1246,2024-11-04 08:10:23,2,0
1360,2023-07-03 17:47:49,0,17,1,34,1,122,0,1192,2024-11-04 08:07:26,3,2
113,2023-07-24 17:02:18,0,40,1,44,2,65,0,617,2024-11-04 08:11:15,4,1
1367,2023-07-31 16:25:26,0,7,1,35,2,223,0,1182,2024-11-04 08:08:01,3,0
1078,2023-06-12 17:32:52,0,20,0,1,3,4,0,280,2024-11-04 08:09:48,0,1
57,2023-11-30 16:52:42,0,1,2,25,0,151,0,962,2024-11-04 08:10:20,2,2
1091,2023-11-15 18:57:38,0,40,1,41,1,141,0,1153,2024-11-04 08:08:42,4,2
639,2023-05-25 16:34:22,0,22,1,42,1,90,0,1280,2024-11-04 08:12:13,4,2
1029,2023-08-24 16:47:21,0,10,0,50,2,53,0,479,2024-11-04 08:10:00,4,1
1571,2023-05-04 16:21:31,0,28,0,13,1,98,0,1418,2024-11-04 08:06:49,1,2
1355,2023-02-06 17:46:59,0,15,0,28,1,133,0,1026,2024-11-04 08:11:46,3,2
1396,2023-02-17 18:16:05,0,18,0,36,0,203,0,1396,2024-11-04 08:07:31,3,0
1071,2023-02-24 16:23:22,0,32,0,47,0,148,0,1573,2024-11-04 08:08:15,4,2
1514,2023-12-07 16:20:08,0,25,0,43,2,62,0,382,2024-11-04 08:07:23,4,1
547,2023-03-20 18:28:48,0,21,0,37,1,161,0,1074,2024-11-04 08:12:15,3,2
386,2023-05-24 16:25:50,0,1,0,7,3,192,0,84,2024-11-04 08:07:46,0,0
1188,2023-01-06 17:01:53,0,29,0,45,0,170,0,1258,2024-11-04 08:10:07,4,2
604,2023-10-19 16:42:37,0,5,1,26,0,32,0,947,2024-11-04 08:07:12,2,1
1416,2023-07-10 17:15:27,0,8,0,46,2,121,0,995,2024-11-04 08:10:31,4,2
1332,2023-06-26 18:25:21,0,41,2,10,1,5,0,1291,2024-11-04 08:07:53,1,1
1380,2023-01-13 16:44:26,0,6,0,40,1,54,0,35,2024-11-04 08:11:40,4,1
1357,2023-12-19 16:55:17,0,16,1,39,2,109,0,590,2024-11-04 08:10:02,4,2
705,2023-09-28 16:20:57,0,36,1,23,0,271,0,1455,2024-11-04 08:11:01,2,0
1434,2023-01-09 16:54:58,0,4,0,4,3,166,0,106,2024-11-04 08:09:39,0,2
278,2023-11-07 16:46:04,0,23,0,30,0,75,0,301,2024-11-04 08:11:27,3,1
1471,2023-11-29 18:10:30,0,4,0,3,3,52,0,72,2024-11-04 08:11:52,0,1
1399,2023-11-02 16:36:37,0,28,0,25,0,149,0,1569,2024-11-04 08:06:52,2,2
445,2023-01-23 16:50:31,0,13,0,33,0,131,0,1625,2024-11-04 08:09:17,3,2
23,2023-11-13 18:26:24,0,38,0,21,0,39,0,1597,2024-11-04 08:12:22,2,1
1534,2023-11-27 16:05:27,0,22,1,30,1,0,0,672,2024-11-04 08:10:54,3,1
754,2023-01-06 17:16:44,0,19,3,17,0,75,0,1566,2024-11-04 08:12:21,1,1
1443,2023-02-06 17:57:28,0,32,1,14,1,120,0,167,2024-11-04 08:10:37,1,2
742,2023-10-23 17:16:20,0,26,0,3,3,263,0,352,2024-11-04 08:11:52,0,0
225,2024-01-01 16:08:49,0,21,1,41,2,146,0,311,2024-11-04 08:11:28,4,2
189,2023-11-06 17:22:58,0,30,1,4,3,71,0,1333,2024-11-04 08:07:21,0,1
1364,2023-10-19 16:14:15,0,14,2,5,3,64,0,208,2024-11-04 08:09:56,0,1
375,2023-01-09 16:09:48,0,1,0,33,1,148,0,623,2024-11-04 08:11:21,3,2
1551,2023-09-04 18:13:25,0,31,2,39,1,108,0,1001,2024-11-04 08:09:35,4,2
1203,2023-12-22 16:27:49,0,37,1,49,2,133,0,684,2024-11-04 08:09:59,4,2
870,2023-08-30 16:11:47,0,39,0,0,3,3,0,175,2024-11-04 08:10:35,0,1
891,2023-12-25 16:58:19,0,1,2,0,3,55,0,174,2024-11-04 08:11:36,0,1
785,2023-07-04 16:27:23,0,43,2,40,0,3,0,418,2024-11-04 08:06:24,4,1
1150,2023-02-13 17:18:15,0,38,2,0,3,138,0,111,2024-11-04 08:10:09,0,2
1298,2023-09-06 16:28:38,0,22,0,41,0,204,0,1543,2024-11-04 08:08:15,4,0
388,2023-09-18 17:31:23,0,4,0,5,3,144,0,294,2024-11-04 08:11:00,0,2
136,2023-08-14 18:13:38,0,20,0,41,1,151,0,1075,2024-11-04 08:08:06,4,2
1387,2023-07-19 16:57:01,0,34,1,61,2,20,0,1114,2024-11-04 08:11:58,4,1
1359,2023-07-31 16:01:00,0,21,1,25,1,158,0,1127,2024-11-04 08:11:13,2,2
68,2023-04-05 18:37:10,0,13,0,26,1,146,0,1364,2024-11-04 08:08:25,2,2
1407,2023-07-07 16:38:12,0,19,2,25,1,12,0,1416,2024-11-04 08:10:49,2,1
471,2023-02-06 16:09:48,0,10,1,54,2,8,0,1185,2024-11-04 08:08:43,4,1
810,2023-08-25 16:52:28,0,37,2,43,2,88,0,754,2024-11-04 08:06:31,4,1
947,2023-06-01 16:51:11,0,38,0,24,1,233,0,1290,2024-11-04 08:07:55,2,0
241,2023-03-28 18:30:25,0,12,2,10,3,195,0,58,2024-11-04 08:10:28,1,0
760,2023-05-23 16:03:54,0,3,2,17,0,170,0,865,2024-11-04 08:10:16,1,2
1230,2023-10-31 16:48:01,0,27,1,28,0,118,0,1096,2024-11-04 08:06:28,3,2
718,2023-04-24 18:33:29,0,10,2,58,2,10,0,717,2024-11-04 08:06:26,4,1
1158,2023-09-05 16:55:47,0,14,1,51,2,240,0,738,2024-11-04 08:07:36,4,0
384,2023-12-25 17:19:08,0,33,0,54,2,107,0,578,2024-11-04 08:11:49,4,2
1503,2023-10-16 16:15:54,0,42,1,40,1,44,0,859,2024-11-04 08:12:04,4,1
957,2023-11-23 16:15:59,0,39,0,27,1,142,0,1007,2024-11-04 08:11:38,2,2
243,2023-02-09 17:50:23,0,30,2,7,3,99,0,967,2024-11-04 08:08:01,0,2
61,2023-10-09 17:48:55,0,36,3,35,0,42,0,1617,2024-11-04 08:11:22,3,1
255,2023-12-19 16:46:08,0,36,0,46,0,18,0,1285,2024-11-04 08:08:56,4,1
198,2023-01-19 16:14:12,0,24,1,45,2,119,0,788,2024-11-04 08:09:17,4,2
262,2023-09-29 18:54:28,0,41,1,3,3,7,0,196,2024-11-04 08:07:27,0,1
238,2023-07-21 17:02:42,0,4,0,7,3,70,0,126,2024-11-04 08:10:45,0,1
1315,2023-10-09 18:28:04,0,19,0,35,2,77,0,650,2024-11-04 08:11:16,3,1
1196,2023-12-01 18:46:28,0,9,2,50,2,47,0,952,2024-11-04 08:07:25,4,1
1547,2023-05-05 16:31:53,0,20,0,4,3,27,0,1400,2024-11-04 08:09:03,0,1
114,2023-08-21 18:09:24,0,13,1,33,1,62,0,872,2024-11-04 08:07:28,3,1
1348,2023-10-02 16:03:09,0,31,0,16,1,95,0,535,2024-11-04 08:06:59,1,2
192,2023-06-26 16:40:21,0,37,0,38,2,14,0,1089,2024-11-04 08:11:03,4,1
1511,2023-03-06 16:46:57,0,28,1,9,3,83,0,448,2024-11-04 08:08:53,1,1
849,2023-10-16 16:09:47,0,42,0,55,2,80,0,741,2024-11-04 08:11:50,4,1
323,2023-06-29 16:16:37,0,31,2,6,3,160,0,509,2024-11-04 08:08:18,0,2
720,2023-09-25 16:11:18,0,23,1,19,0,72,0,1540,2024-11-04 08:10:49,2,1
1189,2023-04-07 17:23:05,0,26,2,3,3,73,0,813,2024-11-04 08:10:42,0,1
1220,2023-06-16 17:21:15,0,41,1,60,2,116,0,573,2024-11-04 08:09:07,4,2
924,2023-06-16 16:41:23,0,8,1,12,0,45,0,1538,2024-11-04 08:10:49,1,1
112,2023-07-19 17:42:38,0,28,2,18,1,202,0,541,2024-11-04 08:10:02,2,0
1267,2023-04-27 17:30:16,0,36,1,52,0,160,0,1453,2024-11-04 08:08:01,4,2
1355,2023-12-08 16:47:48,0,21,2,1,3,138,0,427,2024-11-04 08:11:09,0,2
1107,2023-02-10 17:06:40,0,20,1,28,0,169,0,1117,2024-11-04 08:06:33,3,2
1523,2023-06-26 18:57:37,0,38,1,3,3,41,0,246,2024-11-04 08:09:32,0,1
65,2023-10-12 16:02:13,0,15,0,24,1,129,0,1241,2024-11-04 08:07:29,2,2
1172,2023-10-30 17:17:51,0,7,0,2,3,54,0,31,2024-11-04 08:10:35,0,1
1064,2023-04-18 17:43:50,0,8,2,36,1,15,0,1058,2024-11-04 08:10:05,3,1
167,2023-03-09 17:37:08,0,21,2,47,2,20,0,727,2024-11-04 08:11:42,4,1
901,2023-04-24 17:01:08,0,33,1,9,3,138,0,306,2024-11-04 08:07:02,1,2
764,2023-08-11 18:20:48,0,28,0,40,2,231,0,607,2024-11-04 08:10:00,4,0
204,2023-01-30 17:11:53,0,17,1,30,0,45,0,1041,2024-11-04 08:11:44,3,1
905,2023-04-17 16:56:06,0,21,0,15,1,62,0,1106,2024-11-04 08:07:39,1,1
1458,2023-11-23 16:09:39,0,40,0,21,1,167,0,1361,2024-11-04 08:11:33,2,2
1304,2023-12-25 17:46:24,0,20,1,13,0,101,0,1607,2024-11-04 08:08:23,1,2
1590,2023-05-31 16:54:20,0,20,1,11,0,45,0,1458,2024-11-04 08:07:52,1,1
1177,2023-11-06 17:23:08,0,6,0,56,2,118,0,1172,2024-11-04 08:10:00,4,2
132,2023-02-20 17:28:15,0,18,2,35,1,102,0,778,2024-11-04 08:10:56,3,2
770,2023-06-19 16:36:25,0,23,1,8,3,43,0,314,2024-11-04 08:06:27,1,1
590,2023-10-30 16:58:01,0,30,1,8,1,269,0,892,2024-11-04 08:12:22,1,0
1030,2023-09-08 16:48:51,0,41,2,19,1,40,0,699,2024-11-04 08:10:16,2,1
554,2023-10-02 17:44:05,0,1,1,37,1,113,0,549,2024-11-04 08:10:29,3,2
1493,2023-04-14 17:59:43,0,16,0,3,3,156,0,492,2024-11-04 08:07:02,0,2
344,2023-10-17 16:58:59,0,11,0,19,1,23,0,692,2024-11-04 08:11:00,2,1
476,2023-01-16 16:31:48,0,10,1,51,2,156,0,693,2024-11-04 08:11:19,4,2
633,2023-06-02 16:48:43,0,42,2,53,2,20,0,1080,2024-11-04 08:08:37,4,1
186,2023-11-10 16:10:34,0,26,1,8,3,167,0,396,2024-11-04 08:11:36,1,2
138,2023-09-18 16:04:52,0,1,1,40,0,154,0,1482,2024-11-04 08:09:16,4,2
150,2023-12-21 17:01:24,0,36,0,47,0,264,0,1549,2024-11-04 08:12:00,4,0
92,2023-05-01 17:17:12,0,20,1,9,1,34,0,621,2024-11-04 08:11:25,1,1
1518,2023-09-22 16:42:15,0,35,2,28,1,52,0,695,2024-11-04 08:06:44,3,1
154,2023-09-20 17:25:26,0,15,0,59,2,216,0,644,2024-11-04 08:07:23,4,0
658,2023-06-09 16:10:51,0,38,1,24,1,244,0,1085,2024-11-04 08:07:18,2,0
827,2023-03-30 16:09:26,0,22,0,9,3,8,0,172,2024-11-04 08:10:01,1,1
1082,2023-05-02 16:14:22,0,26,1,57,2,29,0,891,2024-11-04 08:06:34,4,1
57,2023-02-27 16:39:28,0,24,0,35,1,134,0,1186,2024-11-04 08:10:57,3,2
1046,2023-02-02 16:19:31,0,14,2,20,1,126,0,1022,2024-11-04 08:07:20,2,2
634,2023-07-10 16:43:05,0,4,2,9,3,21,0,351,2024-11-04 08:10:08,1,1
1295,2023-06-30 17:10:38,0,7,0,11,0,127,0,1578,2024-11-04 08:10:24,1,2
602,2023-02-01 18:47:20,0,5,2,25,0,55,0,363,2024-11-04 08:12:12,2,1
1392,2023-10-09 18:43:04,0,23,0,24,1,118,0,536,2024-11-04 08:11:35,2,2
715,2023-09-06 17:01:50,0,29,0,50,0,215,0,1518,2024-11-04 08:12:08,4,0
1468,2023-10-10 16:42:09,0,6,0,5,3,136,0,129,2024-11-04 08:11:30,0,2
1338,2023-07-17 16:57:14,0,2,1,38,2,155,0,889,2024-11-04 08:09:35,4,2
1564,2023-05-17 17:00:34,0,31,2,40,2,219,0,515,2024-11-04 08:09:42,4,0
1402,2023-04-03 16:37:24,0,7,0,51,2,124,0,807,2024-11-04 08:09:39,4,2
1473,2023-09-12 16:28:38,0,10,0,62,2,66,0,768,2024-11-04 08:09:26,4,1
577,2023-12-08 16:39:15,0,28,0,54,2,80,0,673,2024-11-04 08:11:35,4,1
240,2023-03-13 16:25:34,0,14,0,44,2,112,0,766,2024-11-04 08:07:18,4,2
1022,2023-03-09 16:31:54,0,36,1,10,3,19,0,422,2024-11-04 08:10:46,1,1
723,2023-06-14 16:30:42,0,37,0,53,2,102,0,964,2024-11-04 08:12:09,4,2
608,2023-08-21 16:28:17,0,28,0,3,3,133,0,198,2024-11-04 08:08:40,0,2
650,2023-07-17 16:48:23,0,0,2,2,3,149,0,210,2024-11-04 08:10:54,0,2
1487,2023-05-03 17:04:32,0,1,0,46,0,83,0,270,2024-11-04 08:07:46,4,1
842,2023-07-10 16:51:12,0,28,2,14,0,26,0,1309,2024-11-04 08:11:43,1,1
1049,2023-11-23 18:00:00,0,23,0,41,2,26,0,1013,2024-11-04 08:07:08,4,1
170,2023-11-06 17:53:25,0,2,0,26,0,89,0,107,2024-11-04 08:12:06,2,1
767,2023-07-03 17:03:48,0,31,1,40,1,134,0,1301,2024-11-04 08:09:17,4,2
468,2023-03-13 17:26:17,0,27,1,40,2,85,0,1144,2024-11-04 08:10:31,4,1
492,2023-07-10 18:16:07,0,35,0,9,3,150,0,468,2024-11-04 08:06:43,1,2
381,2023-11-23 17:23:16,0,12,2,31,1,58,0,1011,2024-11-04 08:11:23,3,1
220,2023-05-18 16:16:53,0,41,1,34,1,159,0,1312,2024-11-04 08:07:20,3,2
483,2023-05-09 16:55:54,0,39,0,22,0,36,0,343,2024-11-04 08:09:15,2,1
575,2023-08-25 18:47:28,0,19,2,38,1,231,0,729,2024-11-04 08:06:36,4,0
1282,2023-12-25 17:05:00,0,29,0,1,3,235,0,102,2024-11-04 08:09:12,0,0
879,2023-08-23 16:32:59,0,41,2,31,1,63,0,648,2024-11-04 08:10:52,3,1
603,2023-05-15 16:37:12,0,5,1,49,2,243,0,1064,2024-11-04 08:11:30,4,0
989,2023-06-26 18:25:14,0,24,0,8,3,161,0,9,2024-11-04 08:06:40,1,2
1176,2023-04-10 17:57:59,0,25,0,24,0,133,0,159,2024-11-04 08:06:40,2,2
1194,2023-10-10 17:07:27,0,7,0,33,1,136,0,1279,2024-11-04 08:09:16,3,2
807,2023-07-25 17:42:45,0,21,0,28,0,134,0,985,2024-11-04 08:10:40,3,2
899,2023-09-04 16:41:19,0,33,1,62,2,194,0,595,2024-11-04 08:09:46,4,0
928,2023-03-13 16:08:41,0,9,2,40,1,114,0,771,2024-11-04 08:07:12,4,2
615,2023-02-24 17:00:26,0,37,0,5,3,170,0,344,2024-11-04 08:08:18,0,2
803,2023-10-24 16:43:03,0,28,1,62,2,251,0,628,2024-11-04 08:08:26,4,0
1464,2023-11-21 17:05:17,0,18,3,11,1,51,0,1350,2024-11-04 08:09:23,1,1
985,2023-09-26 17:07:06,0,12,0,54,2,90,0,1225,2024-11-04 08:09:17,4,2
679,2023-03-31 17:36:57,0,23,0,27,1,134,0,802,2024-11-04 08:08:08,2,2
22,2023-10-13 16:08:26,0,27,1,16,1,80,0,669,2024-11-04 08:10:31,1,1
557,2023-06-30 16:31:46,0,11,0,39,1,121,0,1271,2024-11-04 08:09:48,4,2
560,2023-02-03 18:15:15,0,40,1,12,1,113,0,676,2024-11-04 08:10:20,1,2
513,2023-06-22 16:47:47,0,41,2,40,0,22,0,65,2024-11-04 08:08:03,4,1
542,2023-01-17 18:42:28,0,33,0,35,2,47,0,720,2024-11-04 08:09:02,3,1
1307,2023-08-24 18:54:06,0,30,0,49,2,234,0,878,2024-11-04 08:06:33,4,0
1505,2023-05-01 18:28:00,0,15,2,9,1,267,0,140,2024-11-04 08:07:16,1,0
1052,2023-05-15 16:25:29,0,19,1,17,0,235,0,1181,2024-11-04 08:06:54,1,0
489,2023-01-30 17:28:00,0,19,0,32,1,100,0,95,2024-11-04 08:11:28,3,2
431,2023-07-05 16:08:25,0,42,0,48,2,156,0,557,2024-11-04 08:06:25,4,2
407,2023-02-06 16:26:29,0,33,1,21,1,160,0,1039,2024-11-04 08:09:34,2,2
1228,2023-01-24 16:00:14,0,31,2,24,1,125,0,907,2024-11-04 08:10:06,2,2
